label,matl_type,matl_cat,spec,spec_num,DIN_number,density,Fy,Fu,E,G ,v,elongation,area_reduc
6061-t6,Aluminum,Metal,UNS,A96061,,0.098,35000,42000,10000000,3800000,0.33,,
6063-t6,Aluminum,Metal,UNS,A96063,,0.098,35000,40000,10000000,3800000,0.33,,
7075-t6,Aluminum,Metal,UNS,A97075,,0.098,73000,83000,10000000,3800000,,,
4140 HT,Steel,Metal,UNS,G41400,1.7225,0.289,120000,130000,28900000,11600000,0.3,,
grade 50 ,Steel,Metal,ASTM,A572,,0.289,50000,65000,28900000,11600000,0.3,,
HY-80,Steel,Metal,UNS,K31820,,0.28,80000,100000,28900000,11600000,0.28,20,55
HY-100,Steel,Metal,UNS,K32045,,0.284,100000,120000,28900000,11600000,0.28,,
Maraging 350,Steel,Metal,AMS,6515,1.6355,0.292,325000,335000,29000000,11600000,0.28,6,25
22-05 duplex,Stainless Steel,Metal,UNS ,S32205,1.4462,0.28,65000,90000,28000000,11200000,0.3,,
25-07 duplex,Stainless Steel,Metal,UNS ,S32750,1.441,0.28,80000,116000,28000000,11200000,0.3,,
annealed 304,Stainless Steel,Metal,UNS,S30400,1.4301,0.28,30000,75000,28000000,11200000,0.27,,
annealed 316,Stainless Steel,Metal,UNS,S31600,1.4401,0.28,30000,75000,28000000,11200000,0.27,,
"17-4 ph, h1140",Stainless Steel,Metal,UNS,S17400,1.4542,0.28,105000,135000,28000000,11200000,0.27,,
Ti 6al4v,Titanium,Metal,UNS,R56400,3.7165,0.16,120000,130000,16500000,59900000,0.34,,
